competitor_id,company_name,industry,estimated_revenue,employee_count,market_share,growth_rate,funding_stage,competitive_advantage
COMP000000,"Davis, Hale and Williams",EdTech,35003914.99,3901,0.78,-3.67,Series A,Brand
COMP000001,Hill Ltd,CleanTech,21335620.88,2554,14.49,58.95,Pre-Seed,Technology
COMP000002,"Carter, Hendricks and Wolfe",HealthTech,2623819.97,4831,7.54,41.41,Series A,Technology
COMP000003,"Barrera, Kerr and Jenkins",FinTech,37476231.11,2161,8.99,49.83,Series C,Technology
COMP000004,"Martinez, Wood and Campos",SaaS,28751025.79,2590,4.11,99.72,Pre-Seed,Cost
COMP000005,"Miranda, Nguyen and Hayes",EdTech,2210616.59,4997,7.78,78.86,Series A,Network Effect
COMP000006,Clark-Williams,FoodTech,46470125.3,3245,11.86,48.21,Series B,Market Position
COMP000007,Jones Ltd,HealthTech,10013322.72,4845,6.87,3.23,Series B,Brand
COMP000008,"Brady, James and Reese",SaaS,5192565.39,3139,14.35,6.33,Series B,Cost
COMP000009,Sanders Inc,FinTech,24302567.54,4687,4.36,15.66,Seed,Cost
COMP000010,Wilson-Stark,CleanTech,9232465.13,4232,10.21,55.46,Series C,Network Effect
COMP000011,Santiago-Marshall,HealthTech,49783961.39,3664,12.2,-2.63,Series A,Market Position
COMP000012,Jones-Kelley,CleanTech,42421264.41,1153,0.88,41.4,Series C,Brand
COMP000013,Reeves Group,EdTech,5373990.27,3374,1.3,7.42,Growth,Technology
COMP000014,Ruiz LLC,SaaS,4844394.69,4480,14.18,77.91,Seed,Cost
COMP000015,Jackson Inc,FoodTech,45051539.78,927,1.71,38.89,Pre-Seed,Network Effect
COMP000016,"Garcia, Phillips and Nichols",SaaS,46397388.28,4173,0.94,80.24,Pre-Seed,Network Effect
COMP000017,Jackson-Powers,CleanTech,44718763.05,2501,8.26,7.68,Pre-Seed,Brand
COMP000018,Byrd and Sons,AI/ML,26145119.99,1919,8.78,38.44,Series C,Cost
COMP000019,Howard-Robinson,FoodTech,46632097.86,4426,3.0,79.31,Series A,Network Effect
COMP000020,Stafford PLC,FinTech,20997500.23,2633,7.36,0.31,Seed,Market Position
COMP000021,Ramos Inc,CleanTech,28215111.86,2463,9.14,0.07,Growth,Technology
COMP000022,"Cain, Davidson and Moran",EdTech,25593824.36,4103,10.28,54.95,Seed,Network Effect
COMP000023,Myers LLC,CleanTech,28028476.62,4144,2.68,69.88,Series B,Network Effect
COMP000024,Williams-Smith,FoodTech,33262713.01,419,4.37,54.77,Seed,Technology
COMP000025,Wang-Mcfarland,SaaS,45245603.44,734,11.96,36.59,Series A,Brand
COMP000026,Kerr-Gonzalez,FinTech,24768338.28,4530,9.81,9.47,Series A,Network Effect
COMP000027,Fisher Inc,E-commerce,16732015.01,3101,5.63,75.69,Series B,Network Effect
COMP000028,Hoover-Frazier,CleanTech,9168090.02,380,13.33,91.88,Growth,Cost
COMP000029,Walker Inc,CleanTech,19248160.75,2046,10.95,92.91,Series B,Technology
COMP000030,"Jackson, Jackson and Perry",SaaS,22707682.35,2569,2.7,38.83,Seed,Network Effect
COMP000031,Ochoa LLC,AI/ML,5200262.79,1176,2.82,92.68,Series C,Market Position
COMP000032,"Sims, Weber and Villa",CleanTech,13833339.86,4488,2.31,45.28,Series C,Market Position
COMP000033,Mcmillan-Martinez,SaaS,26777641.6,4373,10.6,15.07,Pre-Seed,Brand
COMP000034,Rodriguez LLC,EdTech,49252120.57,3247,7.45,98.97,Series C,Brand
COMP000035,Smith Ltd,HealthTech,21303230.29,529,1.79,-1.88,Pre-Seed,Network Effect
COMP000036,Smith-Lewis,E-commerce,17951580.92,4922,9.78,7.96,Seed,Brand
COMP000037,Jones LLC,HealthTech,11709180.27,3902,10.94,88.39,Series A,Market Position
COMP000038,"Hanson, Williams and Mcclure",E-commerce,2285163.98,2094,5.16,46.21,Series B,Cost
COMP000039,Turner-George,FinTech,45509486.92,2961,13.64,20.63,Series A,Brand
COMP000040,Marquez PLC,EdTech,13182918.52,807,6.72,61.53,Seed,Cost
COMP000041,King Inc,SaaS,1509922.6,4656,6.54,82.96,Series B,Brand
COMP000042,"Nguyen, Mccoy and Price",HealthTech,38642753.46,1048,10.65,55.4,Series C,Network Effect
COMP000043,"Anderson, Thompson and Gill",FinTech,27380548.48,33,13.06,40.79,Series C,Market Position
COMP000044,"Stewart, York and Olson",HealthTech,13647779.71,3637,4.43,46.87,Pre-Seed,Market Position
COMP000045,Smith-Barr,AI/ML,31165121.05,3241,9.59,94.19,Series C,Brand
COMP000046,Reyes-Davidson,E-commerce,34974149.26,4775,6.24,58.04,Series B,Cost
COMP000047,Gordon Ltd,CleanTech,28404347.76,749,5.25,54.72,Series A,Technology
COMP000048,Hall PLC,HealthTech,6293429.33,1114,10.97,64.75,Pre-Seed,Brand
COMP000049,Parker Ltd,AI/ML,12395185.45,3135,13.39,-5.11,Pre-Seed,Technology
COMP000050,Todd-Harvey,FoodTech,4022455.65,516,3.79,55.56,Series C,Brand
COMP000051,Taylor Group,E-commerce,21120316.4,2046,6.46,68.03,Seed,Technology
COMP000052,Harris-Bennett,SaaS,16449926.76,4921,1.31,43.41,Pre-Seed,Technology
COMP000053,"Johnson, Mclean and George",SaaS,40368978.64,2457,8.19,53.84,Seed,Technology
COMP000054,Stevenson-Murphy,SaaS,46033371.51,3082,10.39,20.14,Growth,Network Effect
COMP000055,Stewart-Buchanan,CleanTech,21623866.26,3372,1.23,76.81,Series A,Market Position
COMP000056,Meyer Group,FinTech,41027549.58,2555,5.06,85.17,Series B,Brand
